Method,Peak,Analysis,Before,After
A,peak 1,1º,1.96,0
A,peak 1,2º,1.85,0
A,peak 1,3º,1.68,0
A,peak 1,4º,1.52,
A,peak 2,1º,10.11,17.05
A,peak 2,2º,10.14,12.65
A,peak 2,3º,10.32,14.23
A,peak 2,4º,10.63,
A,peak 3,1º,0.52,0
A,peak 3,2º,0.6,0
A,peak 3,3º,0.89,0
A,peak 3,4º,1.22,
A,peak 4,1º,54.82,53.49
A,peak 4,2º,55.49,61.74
A,peak 4,3º,55.18,58.01
A,peak 4,4º,55.01,
A,peak 5,1º,7.43,1.97
A,peak 5,2º,7.67,5.65
A,peak 5,3º,7.71,5.48
A,peak 5,4º,7.33,
A,peak 6,1º,7.95,10.2
A,peak 6,2º,7.72,7.33
A,peak 6,3º,7.25,8.15
A,peak 6,4º,6.69,
A,peak 7,1º,8.67,9.27
A,peak 7,2º,8.55,5.47
A,peak 7,3º,8.65,6.76
A,peak 7,4º,9.64,
A,peak 8,1º,5.04,6.55
A,peak 8,2º,4.77,5.37
A,peak 8,3º,4.69,5.94
A,peak 8,4º,4.49,
A,peak 9,1º,1.95,1.46
A,peak 9,2º,1.92,1.76
A,peak 9,3º,1.65,1.42
A,peak 9,4º,1.78,
A,peak 10,1º,1.56,0
A,peak 10,2º,1.3,0
A,peak 10,3º,1.97,0
A,peak 10,4º,1.68,
B,peak 1,1º,1.73,1.42
B,peak 1,2º,1.54,1.74
B,peak 1,3º,1.66,1.45
B,peak 1,4º,1.74,
B,peak 2,1º,9.97,11.45
B,peak 2,2º,9.9,11.67
B,peak 2,3º,10.02,13.82
B,peak 2,4º,11,
B,peak 3,1º,0.72,1.25
B,peak 3,2º,0.64,1.17
B,peak 3,3º,0.42,0.82
B,peak 3,4º,1.1,
B,peak 4,1º,54.66,54.37
B,peak 4,2º,55.9,55.79
B,peak 4,3º,54.99,56.93
B,peak 4,4º,54.67,
B,peak 5,1º,6.55,7.05
B,peak 5,2º,7.17,6.42
B,peak 5,3º,6.81,5.78
B,peak 5,4º,8.39,
B,peak 6,1º,9.73,9.2
B,peak 6,2º,8.58,8
B,peak 6,3º,8.77,8
B,peak 6,4º,6.58,
B,peak 7,1º,8.68,7.35
B,peak 7,2º,9.16,7.19
B,peak 7,3º,9.21,6.5
B,peak 7,4º,9.33,
B,peak 8,1º,4.72,4.67
B,peak 8,2º,4.33,4.77
B,peak 8,3º,4.47,4.39
B,peak 8,4º,4.26,
B,peak 9,1º,1.7,1.72
B,peak 9,2º,1.58,1.32
B,peak 9,3º,1.86,1.16
B,peak 9,4º,1.94,
B,peak 10,1º,1.54,1.52
B,peak 10,2º,1.2,1.94
B,peak 10,3º,1.79,1.13
B,peak 10,4º,0.97,
C,peak 1,1º,1.08,0.64
C,peak 1,2º,1.63,1.08
C,peak 1,3º,1.49,0.62
C,peak 1,4º,1.36,
C,peak 2,1º,10.41,9.64
C,peak 2,2º,11.13,9.71
C,peak 2,3º,10.64,10.39
C,peak 2,4º,10.96,
C,peak 3,1º,0.81,0.78
C,peak 3,2º,0.95,0.6
C,peak 3,3º,0.68,0.85
C,peak 3,4º,1.28,
C,peak 4,1º,55.73,57.3
C,peak 4,2º,57.29,54.39
C,peak 4,3º,55,54.66
C,peak 4,4º,54.12,
C,peak 5,1º,7.62,7.19
C,peak 5,2º,7.87,7.57
C,peak 5,3º,8.36,7.35
C,peak 5,4º,8.41,
C,peak 6,1º,7.01,9.22
C,peak 6,2º,7.17,9.23
C,peak 6,3º,7.13,9.32
C,peak 6,4º,6.96,
C,peak 7,1º,9.17,7.54
C,peak 7,2º,7.94,8.9
C,peak 7,3º,9.08,8.78
C,peak 7,4º,9.22,
C,peak 8,1º,4.7,4.91
C,peak 8,2º,3.87,5.24
C,peak 8,3º,4.61,5.17
C,peak 8,4º,4.66,
C,peak 9,1º,1.52,1.36
C,peak 9,2º,0.93,1.72
C,peak 9,3º,1.33,1.61
C,peak 9,4º,1.35,
C,peak 10,1º,1.93,1.41
C,peak 10,2º,1.22,1.68
C,peak 10,3º,1.41,1.58
C,peak 10,4º,1.68,
D,peak 1,1º,1.48,1.34
D,peak 1,2º,1.39,1.7
D,peak 1,3º,1.78,1.62
D,peak 1,4º,1.53,
D,peak 2,1º,9.69,10.2
D,peak 2,2º,10.16,9.8
D,peak 2,3º,10.57,9.85
D,peak 2,4º,10.68,
D,peak 3,1º,0.54,1
D,peak 3,2º,0.7,1.19
D,peak 3,3º,0.64,0.53
D,peak 3,4º,1.25,
D,peak 4,1º,57,57.02
D,peak 4,2º,56.84,55.94
D,peak 4,3º,58.01,58.53
D,peak 4,4º,54.53,
D,peak 5,1º,6.74,6.49
D,peak 5,2º,6.72,7.22
D,peak 5,3º,6.66,5.46
D,peak 5,4º,6.97,
D,peak 6,1º,8.96,8.84
D,peak 6,2º,8.65,8.62
D,peak 6,3º,8.1,9.43
D,peak 6,4º,7.75,
D,peak 7,1º,8.27,6.18
D,peak 7,2º,8.21,7.21
D,peak 7,3º,7.9,6.49
D,peak 7,4º,9.01,
D,peak 8,1º,4.67,4.92
D,peak 8,2º,4.1,5.36
D,peak 8,3º,4.23,4.64
D,peak 8,4º,4.35,
D,peak 9,1º,1.66,1.9
D,peak 9,2º,1.73,1.93
D,peak 9,3º,0.94,1.63
D,peak 9,4º,2.15,
D,peak 10,1º,1.29,2.1
D,peak 10,2º,1.5,1.01
D,peak 10,3º,1.17,1.81
D,peak 10,4º,1.78,
E,peak 1,1º,1.43,1.03
E,peak 1,2º,1.44,1.01
E,peak 1,3º,1.37,1.27
E,peak 1,4º,1.55,
E,peak 1,5º,1.44,
E,peak 2,1º,9.71,16.11
E,peak 2,2º,10.57,21.31
E,peak 2,3º,10.41,18.48
E,peak 2,4º,10.58,
E,peak 2,5º,10.72,
E,peak 3,1º,1.31,0.7
E,peak 3,2º,1.25,1.45
E,peak 3,3º,1.21,0.79
E,peak 3,4º,1.36,
E,peak 3,5º,1.27,
E,peak 4,1º,55.58,54.79
E,peak 4,2º,54.96,53.63
E,peak 4,3º,54.88,56.87
E,peak 4,4º,54.46,
E,peak 4,5º,54.66,
E,peak 5,1º,7.26,5.3
E,peak 5,2º,7.87,3.81
E,peak 5,3º,7.68,3.8
E,peak 5,4º,7.66,
E,peak 5,5º,7.62,
E,peak 6,1º,8.06,8.62
E,peak 6,2º,7.66,6.47
E,peak 6,3º,7.48,6.31
E,peak 6,4º,7.54,
E,peak 6,5º,7.25,
E,peak 7,1º,8.15,6.36
E,peak 7,2º,8.47,6.41
E,peak 7,3º,8.53,5.49
E,peak 7,4º,8.77,
E,peak 7,5º,8.86,
E,peak 8,1º,4.66,5.01
E,peak 8,2º,4.67,4.3
E,peak 8,3º,4.82,4.57
E,peak 8,4º,4.65,
E,peak 8,5º,4.7,
E,peak 9,1º,1.92,1.06
E,peak 9,2º,1.55,0.69
E,peak 9,3º,1.83,1.19
E,peak 9,4º,1.82,
E,peak 9,5º,1.67,
E,peak 10,1º,1.83,0.96
E,peak 10,2º,1.54,0.92
E,peak 10,3º,1.79,1.25
E,peak 10,4º,1.61,
E,peak 10,5º,1.8,
F,peak 1,1º,1.49,1.46
F,peak 1,2º,1.76,1.68
F,peak 1,3º,1.62,1.51
F,peak 1,4º,1.52,
F,peak 1,5º,1.57,
F,peak 1,6º,1.62,
F,peak 2,1º,10.55,9.12
F,peak 2,2º,11.47,10.9
F,peak 2,3º,11.85,11.45
F,peak 2,4º,10.22,
F,peak 2,5º,11.71,
F,peak 2,6º,10.66,
F,peak 3,1º,1.37,0.88
F,peak 3,2º,1.36,0.4
F,peak 3,3º,1.34,1.05
F,peak 3,4º,1.32,
F,peak 3,5º,1.42,
F,peak 3,6º,1.25,
F,peak 4,1º,54.49,63.02
F,peak 4,2º,55.72,60.12
F,peak 4,3º,55.76,57.19
F,peak 4,4º,54.9,
F,peak 4,5º,55.78,
F,peak 4,6º,56.56,
F,peak 5,1º,6.97,5.78
F,peak 5,2º,6.49,5.91
F,peak 5,3º,7.16,6.19
F,peak 5,4º,7.44,
F,peak 5,5º,7.43,
F,peak 5,6º,7.69,
F,peak 6,1º,8.15,7.24
F,peak 6,2º,7.64,7.81
F,peak 6,3º,7.51,7.34
F,peak 6,4º,7.99,
F,peak 6,5º,7.07,
F,peak 6,6º,6.47,
F,peak 7,1º,8.59,6.03
F,peak 7,2º,9.05,6.8
F,peak 7,3º,8.77,8.38
F,peak 7,4º,8.88,
F,peak 7,5º,8.71,
F,peak 7,6º,8.38,
F,peak 8,1º,4.53,4.61
F,peak 8,2º,4.12,4.51
F,peak 8,3º,4.07,4.72
F,peak 8,4º,4.54,
F,peak 8,5º,4.07,
F,peak 8,6º,4.39,
F,peak 9,1º,1.83,1.15
F,peak 9,2º,1.34,0.66
F,peak 9,3º,1.17,1.22
F,peak 9,4º,1.62,
F,peak 9,5º,1.13,
F,peak 9,6º,1.81,
F,peak 10,1º,2.02,0.71
F,peak 10,2º,1.05,1.2
F,peak 10,3º,0.74,0.96
F,peak 10,4º,1.55,
F,peak 10,5º,1.11,
F,peak 10,6º,1.16,
